7..N13R,40.748231,-73.944863,140,
7..N13R,40.748269,-73.944846,141,
7..N13R,40.748307,-73.944827,142,
7..N13R,40.748345,-73.944808,143,
7..N13R,40.748382,-73.944788,144,
7..N13R,40.748418,-73.944768,145,
7..N13R,40.748454,-73.944746,146,
7..N13R,40.748489,-73.944724,147,
7..N13R,40.748524,-73.944701,148,
7..N13R,40.748558,-73.944677,149,
7..N13R,40.748591,-73.944652,150,
7..N13R,40.748624,-73.944626,151,
7..N13R,40.748656,-73.944599,152,
7..N13R,40.750926,-73.942624,153,
7..N13R,40.750983,-73.942565,154,
7..N13R,40.751035,-73.942502,155,
7..N13R,40.751080,-73.942435,156,
7..N13R,40.751118,-73.942366,157,
7..N13R,40.751150,-73.942293,158,
7..N13R,40.751175,-73.942217,159,
7..N13R,40.751193,-73.942138,160,
7..N13R,40.751204,-73.942055,161,
7..N13R,40.751208,-73.941970,162,
7..N13R,40.751206,-73.941881,163,
7..N13R,40.751197,-73.941790,164,
7..N13R,40.751181,-73.941695,165,
7..N13R,40.751159,-73.941597,166,
7..N13R,40.751130,-73.941495,167,
7..N13R,40.751095,-73.941392,168,
7..N13R,40.750963,-73.941087,169,
7..N13R,40.750582,-73.940202,170,
7..N13R,40.750134,-73.939174,171,
7..N13R,40.750058,-73.939030,172,
7..N13R,40.749982,-73.938889,173,
7..N13R,40.749906,-73.938753,174,
7..N13R,40.749830,-73.938621,175,
7..N13R,40.749754,-73.938493,176,
7..N13R,40.749678,-73.938370,177,
7..N13R,40.749602,-73.938251,178,
7..N13R,40.749526,-73.938136,179,
7..N13R,40.749450,-73.938026,180,
7..N13R,40.749373,-73.937920,181,
7..N13R,40.749297,-73.937818,182,
7..N13R,40.749220,-73.937720,183,
7..N13R,40.749143,-73.937627,184,
7..N13R,40.749067,-73.937538,185,
7..N13R,40.748991,-73.937455,186,
7..N13R,40.745220,-73.933556,187,
7..N13R,40.745171,-73.933497,188,
7..N13R,40.745125,-73.933435,189,
7..N13R,40.745081,-73.933371,190,
7..N13R,40.745040,-73.933304,191,
7..N13R,40.745001,-73.933235,192,
7..N13R,40.744965,-73.933164,193,
7..N13R,40.744931,-73.933091,194,
7..N13R,40.744900,-73.933015,195,
7..N13R,40.744871,-73.932936,196,
7..N13R,40.744845,-73.932856,197,
7..N13R,40.744822,-73.932773,198,
7..N13R,40.744801,-73.932687,199,
7..N13R,40.744782,-73.932600,200,
7..N13R,40.744766,-73.932509,201,
7..N13R,40.744753,-73.932417,202,
7..N13R,40.744587,-73.930997,203,
7..N13R,40.743781,-73.924016,204,
7..N13R,40.743132,-73.918435,205,
7..N13R,40.742977,-73.917065,206,
7..N13R,40.742972,-73.916997,207,
7..N13R,40.742969,-73.916929,208,
7..N13R,40.742967,-73.916862,209,
7..N13R,40.742967,-73.916796,210,
7..N13R,40.742968,-73.916730,211,
7..N13R,40.742970,-73.916665,212,
7..N13R,40.742974,-73.916600,213,
7..N13R,40.742980,-73.916536,214,
7..N13R,40.742987,-73.916472,215,
7..N13R,40.742996,-73.916409,216,
7..N13R,40.743006,-73.916347,217,
7..N13R,40.743017,-73.916285,218,
7..N13R,40.743030,-73.916223,219,
7..N13R,40.743045,-73.916162,220,
7..N13R,40.743061,-73.916102,221,
7..N13R,40.744149,-73.912549,222,
7..N13R,40.744671,-73.910819,223,
7..N13R,40.744687,-73.910763,224,
7..N13R,40.744702,-73.910707,225,
7..N13R,40.744717,-73.910650,226,
7..N13R,40.744732,-73.910592,227,
7..N13R,40.744747,-73.910535,228,
7..N13R,40.744761,-73.910476,229,
7..N13R,40.744775,-73.910418,230,
7..N13R,40.744789,-73.910358,231,
7..N13R,40.744803,-73.910299,232,
7..N13R,40.744816,-73.910238,233,
7..N13R,40.744829,-73.910178,234,
7..N13R,40.744842,-73.910116,235,
7..N13R,40.744855,-73.910055,236,
7..N13R,40.744867,-73.909993,237,
7..N13R,40.744879,-73.909930,238,
7..N13R,40.745321,-73.907327,239,
7..N13R,40.745328,-73.907273,240,
7..N13R,40.745335,-73.907219,241,
7..N13R,40.745341,-73.907166,242,
7..N13R,40.745347,-73.907113,243,
7..N13R,40.745352,-73.907062,244,
7..N13R,40.745357,-73.907010,245,
7..N13R,40.745361,-73.906960,246,
7..N13R,40.745365,-73.906910,247,
7..N13R,40.745368,-73.906861,248,
7..N13R,40.745371,-73.906813,249,
7..N13R,40.745374,-73.906765,250,
7..N13R,40.745376,-73.906718,251,
7..N13R,40.745377,-73.906671,252,
7..N13R,40.745378,-73.906625,253,
7..N13R,40.745379,-73.906580,254,
7..N13R,40.745386,-73.905696,255,
7..N13R,40.745391,-73.905529,256,
7..N13R,40.745392,-73.905493,257,
7..N13R,40.745393,-73.905456,258,
7..N13R,40.745394,-73.905418,259,
7..N13R,40.745396,-73.905380,260,
7..N13R,40.745398,-73.905340,261,
7..N13R,40.745400,-73.905299,262,
7..N13R,40.745402,-73.905256,263,
7..N13R,40.745404,-73.905213,264,
7..N13R,40.745407,-73.905169,265,
7..N13R,40.745410,-73.905124,266,
7..N13R,40.745413,-73.905078,267,
7..N13R,40.745416,-73.905030,268,
7..N13R,40.745420,-73.904982,269,
7..N13R,40.745424,-73.904932,270,
7..N13R,40.745428,-73.904882,271,
7..N13R,40.745630,-73.902984,272,
7..N13R,40.746325,-73.896403,273,
7..N13R,40.746848,-73.891394,274,
7..N13R,40.747659,-73.883697,275,
7..N13R,40.748408,-73.876613,276,
7..N13R,40.749145,-73.869527,277,
7..N13R,40.749865,-73.862700,278,
7..N13R,40.749981,-73.861615,279,
7..N13R,40.749992,-73.861521,280,
7..N13R,40.750004,-73.861428,281,
7..N13R,40.750017,-73.861338,282,
7..N13R,40.750030,-73.861249,283,
7..N13R,40.750045,-73.861162,284,
7..N13R,40.750059,-73.861078,285,
7..N13R,40.750075,-73.860995,286,
7..N13R,40.750091,-73.860914,287,
7..N13R,40.750108,-73.860835,288,
7..N13R,40.750126,-73.860758,289,
7..N13R,40.750144,-73.860682,290,
7..N13R,40.750163,-73.860609,291,
7..N13R,40.750183,-73.860538,292,
7..N13R,40.750204,-73.860468,293,
7..N13R,40.750225,-73.860401,294,
7..N13R,40.751730,-73.855334,295,
7..N13R,40.754622,-73.845625,296,
7..N13R,40.755728,-73.841916,297,
7..N13R,40.755741,-73.841872,298,
7..N13R,40.755755,-73.841827,299,
7..N13R,40.755770,-73.841782,300,
7..N13R,40.755786,-73.841735,301,
7..N13R,40.755802,-73.841687,302,
7..N13R,40.755820,-73.841638,303,
7..N13R,40.755838,-73.841587,304,
7..N13R,40.755857,-73.841536,305,
7..N13R,40.755876,-73.841484,306,
7..N13R,40.755897,-73.841431,307,
7..N13R,40.755918,-73.841376,308,
7..N13R,40.755940,-73.841321,309,
7..N13R,40.755963,-73.841264,310,
7..N13R,40.755987,-73.841207,311,
7..N13R,40.756011,-73.841148,312,
7..N13R,40.757619,-73.837147,313,
7..N13R,40.757635,-73.837103,314,
7..N13R,40.757651,-73.837059,315,
7..N13R,40.757666,-73.837015,316,
7..N13R,40.757680,-73.836971,317,
7..N13R,40.757695,-73.836927,318,
7..N13R,40.757708,-73.836883,319,
7..N13R,40.757722,-73.836840,320,
7..N13R,40.757734,-73.836796,321,
7..N13R,40.757747,-73.836753,322,
7..N13R,40.757758,-73.836710,323,
7..N13R,40.757770,-73.836667,324,
7..N13R,40.757780,-73.836623,325,
7..N13R,40.757791,-73.836581,326,
7..N13R,40.757801,-73.836538,327,
7..N13R,40.757810,-73.836495,328,
7..N13R,40.758152,-73.834494,329,
7..N13R,40.758167,-73.834417,330,
7..N13R,40.758182,-73.834342,331,
7..N13R,40.758197,-73.834268,332,
7..N13R,40.758213,-73.834196,333,
7..N13R,40.758229,-73.834125,334,
7..N13R,40.758245,-73.834057,335,
7..N13R,40.758262,-73.833990,336,
7..N13R,40.758279,-73.833925,337,
7..N13R,40.758296,-73.833861,338,
7..N13R,40.758314,-73.833799,339,
7..N13R,40.758332,-73.833739,340,
7..N13R,40.758350,-73.833680,341,
7..N13R,40.758369,-73.833624,342,
7..N13R,40.758388,-73.833568,343,
7..N13R,40.758407,-73.833515,344,
7..N13R,40.759409,-73.830623,345,
7..N13R,40.759421,-73.830588,346,
7..N13R,40.759433,-73.830553,347,
7..N13R,40.759445,-73.830519,348,
7..N13R,40.759456,-73.830486,349,
7..N13R,40.759467,-73.830453,350,
7..N13R,40.759478,-73.830421,351,
7..N13R,40.759488,-73.830389,352,
7..N13R,40.759498,-73.830359,353,
7..N13R,40.759508,-73.830329,354,
7..N13R,40.759517,-73.830299,355,
7..N13R,40.759526,-73.830270,356,
7..N13R,40.759534,-73.830242,357,
7..N13R,40.759543,-73.830215,358,
7..N13R,40.759550,-73.830188,359,
7..N13R,40.759558,-73.830162,360,
7..N13R,40.759600,-73.830030,361,
